UUID,NAME,DATA_TYPE,LOINC,NEW_LOINC
21AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Haemoglobin,Numeric,718-7,false
45AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,URINE PREGNANCY TEST,Coded,2106-3,false
300AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BLOOD TYPING,Coded,882-1,false
304AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Stool exam,Coded,10704-5,false
306AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,WIDAL TEST,Coded,17566-1,true
307AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SPUTUM FOR ACID FAST BACILLI,Coded,11477-7,false
653AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM GLUTAMIC-OXALOACETIC TRANSAMINASE,Numeric,48136-6,false
654AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM GLUTAMIC-PYRUVIC TRANSAMINASE,Numeric,1742-6,false
655AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TOTAL BILIRUBIN,Numeric,14631-6,false
678AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,WHITE BLOOD CELLS,Numeric,53225-9,false
679AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,RED BLOOD CELLS,Numeric,23859-2,false
717AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TOTAL PROTEIN,Numeric,2885-2,true
729AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Platelets,Numeric,26515-7,false
730AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,CD4%,Numeric,20606-0,false
785AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ALKALINE PHOSPHATASE,Numeric,6768-6,false
790AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Serum creatinine (umol/L),Numeric,14682-9,false
848AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM ALBUMIN,Numeric,1751-7,false
851AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MEAN CORPUSCULAR VOLUME,Numeric,787-2,false
855AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,ERYTHROCYTE SEDIMENTATION RATE,Numeric,30341-2,false
857AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BLOOD UREA NITROGEN,Numeric,14937-7,false
887AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Serum glucose,Numeric,14749-6,false
908AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HERPES SIMPLEX VIRUS, QUALITATIVE",Coded,51916-5,true
1006AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TOTAL CHOLESTEROL,Numeric,14647-2,false
1007AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HIGH-DENSITY LIPOPROTEIN CHOLESTEROL,Numeric,14646-4,false
1008AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,LOW-DENSITY LIPOPROTEIN CHOLESTEROL,Numeric,22748-8,false
1009AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TRIGLYCERIDES,Numeric,14927-8,false
1011AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Creatine kinase,Numeric,2157-6,false
1013AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM LIPASE,Numeric,3040-3,false
1014AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,LACTATE DEHYDROGENASE,Numeric,2532-0,false
1015AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HEMATOCRIT,Numeric,20570-8,false
1017AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MEAN CELL HEMOGLOBIN CONCENTRATION,Numeric,28540-3,false
1018AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MEAN CORPUSCULAR HEMOGLOBIN,Numeric,28539-5,false
1031AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,TREPONEMA PALLIDUM HEMAGGLUTINATION ASSAY,Coded,8041-6,false
1040AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HIV RAPID TEST 1, QUALITATIVE",Coded,5220-9,false
1042AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"HIV ENZYME IMMUNOASSAY, QUALITATIVE",Coded,5223-3,false
1132AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM SODIUM,Numeric,2951-2,false
1133AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM POTASSIUM,Numeric,2823-3,false
1134AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM CHLORIDE,Numeric,2075-0,false
1135AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,SERUM CARBON DIOXIDE,Numeric,1963-8,false
1297AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,DIRECT BILIRUBIN,Numeric,1968-7,false
1298AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,VERY LOW DENSITY LIPOPROTEIN,Numeric,25371-6,false
1299AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,Amylase,Numeric,1798-8,false
1322AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HEPATITIS B TEST - QUALITATIVE,Coded,5195-3,false
1325AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,HEPATITIS C TEST - QUALITATIVE,Coded,16128-1,false
1327AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,RETICULOCYTES (%),Numeric,31111-8,false
1336AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,NEUTROPHILS (%) - MICROSCOPIC EXAM,Numeric,26511-6,true
1338AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,LYMPHOCYTES (%) - MICROSCOPIC EXAM,Numeric,737-7,true
1339AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,MONOCYTES (%) - MICROSCOPIC EXAM,Numeric,744-3,true
1340AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,EOSINOPHILS (%) - MICROSCOPIC EXAM,Numeric,713-8,true
1341AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,BASOPHILS (%) - MICROSCOPIC EXAM,Numeric,706-2,true
1366AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA,"MALARIA SMEAR, QUALITATIVE",Coded,51587-4,false
