category,dictEntry,localAbbreviation,isActive,sortOrder,loincCode,localization:en,localization:fr,localization:es,localization:id
Test Result,Negative,ISANTE-001-Neg,Y,1,0000-016,Negative,Negative,Negative,Negative
Test Result,POSITIVE,ISANTE-002-POS,Y,2,0000-017,POSITIVE,POSITIVE,POSITIVE,POSITIVE
Test Result,INDETERMINATE,ISANTE-003-IND,Y,3,0000-018,INDETERMINATE,INDETERMINATE,INDETERMINATE,INDETERMINATE
Test Result,POOR SAMPLE QUALITY,ISANTE-004-POO,Y,4,0000-019,POOR SAMPLE QUALITY,POOR SAMPLE QUALITY,POOR SAMPLE QUALITY,POOR SAMPLE QUALITY
Test Result,A POSITIVE,ISANTE-005-A P,Y,5,0000-020,A POSITIVE,A POSITIVE,A POSITIVE,A POSITIVE
Test Result,A NEGATIVE,ISANTE-006-A N,Y,6,0000-021,A NEGATIVE,A NEGATIVE,A NEGATIVE,A NEGATIVE
Test Result,B POSITIVE,ISANTE-007-B P,Y,7,0000-022,B POSITIVE,B POSITIVE,B POSITIVE,B POSITIVE
Test Result,B NEGATIVE,ISANTE-008-B N,Y,8,0000-023,B NEGATIVE,B NEGATIVE,B NEGATIVE,B NEGATIVE
Test Result,O POSITIVE,ISANTE-009-O P,Y,9,0000-024,O POSITIVE,O POSITIVE,O POSITIVE,O POSITIVE
Test Result,O NEGATIVE,ISANTE-010-O N,Y,10,0000-025,O NEGATIVE,O NEGATIVE,O NEGATIVE,O NEGATIVE
Test Result,AB POSITIVE,ISANTE-011-AB ,Y,11,0000-026,AB POSITIVE,AB POSITIVE,AB POSITIVE,AB POSITIVE
Test Result,AB NEGATIVE,ISANTE-012-AB ,Y,12,0000-027,AB NEGATIVE,AB NEGATIVE,AB NEGATIVE,AB NEGATIVE
Test Result,Cestode Infection,ISANTE-013-Ces,Y,13,0000-028,Cestode Infection,Cestode Infection,Cestode Infection,Cestode Infection
Test Result,Infection by Ascaris Lumbricoides,ISANTE-014-Inf,Y,14,0000-029,Infection by Ascaris Lumbricoides,Infection by Ascaris Lumbricoides,Infection by Ascaris Lumbricoides,Infection by Ascaris Lumbricoides
Test Result,Ancylostomiasis due to Ancylostoma Duodenale,ISANTE-015-Anc,Y,15,0000-030,Ancylostomiasis due to Ancylostoma Duodenale,Ancylostomiasis due to Ancylostoma Duodenale,Ancylostomiasis due to Ancylostoma Duodenale,Ancylostomiasis due to Ancylostoma Duodenale
Test Result,Schistosoma Mansonii Infection,ISANTE-016-Sch,Y,16,0000-031,Schistosoma Mansonii Infection,Schistosoma Mansonii Infection,Schistosoma Mansonii Infection,Schistosoma Mansonii Infection
Test Result,Other,ISANTE-017-Oth,Y,17,0000-032,Other,Other,Other,Other
Test Result,Infection due to Entamoeba Histolytica,ISANTE-018-Inf,Y,18,0000-033,Infection due to Entamoeba Histolytica,Infection due to Entamoeba Histolytica,Infection due to Entamoeba Histolytica,Infection due to Entamoeba Histolytica
Test Result,NON-REACTIVE,ISANTE-019-NON,Y,19,0000-034,NON-REACTIVE,NON-REACTIVE,NON-REACTIVE,NON-REACTIVE
Test Result,REACTIVE,ISANTE-020-REA,Y,20,0000-035,REACTIVE,REACTIVE,REACTIVE,REACTIVE
Test Result,THREE PLUS,ISANTE-021-THR,Y,21,0000-036,THREE PLUS,THREE PLUS,THREE PLUS,THREE PLUS
Test Result,ONE PLUS,ISANTE-022-ONE,Y,22,0000-037,ONE PLUS,ONE PLUS,ONE PLUS,ONE PLUS
Test Result,TWO PLUS,ISANTE-023-TWO,Y,23,0000-038,TWO PLUS,TWO PLUS,TWO PLUS,TWO PLUS
Test Result,Scanty,ISANTE-024-Sca,Y,24,0000-039,Scanty,Scanty,Scanty,Scanty
Test Result,Contaminated specimen,ISANTE-025-Con,Y,25,0000-040,Contaminated specimen,Contaminated specimen,Contaminated specimen,Contaminated specimen
Test Result,Results not available,ISANTE-026-Res,Y,26,0000-041,Results not available,Results not available,Results not available,Results not available
Test Result,Not done,ISANTE-027-Not,Y,27,0000-042,Not done,Not done,Not done,Not done
Test Result,EQUIVOCAL,ISANTE-028-EQU,Y,28,0000-043,EQUIVOCAL,EQUIVOCAL,EQUIVOCAL,EQUIVOCAL
Test Result,<1:2,ISANTE-029-<1:,Y,29,0000-044,<1:2,<1:2,<1:2,<1:2
Test Result,1:2,ISANTE-030-1:2,Y,30,0000-045,1:2,1:2,1:2,1:2
Test Result,1:4,ISANTE-031-1:4,Y,31,0000-046,1:4,1:4,1:4,1:4
Test Result,1:8,ISANTE-032-1:8,Y,32,0000-047,1:8,1:8,1:8,1:8
Test Result,1:16,ISANTE-033-1:1,Y,33,0000-048,1:16,1:16,1:16,1:16
Test Result,1:32,ISANTE-034-1:3,Y,34,0000-049,1:32,1:32,1:32,1:32
Test Result,>1:32,ISANTE-035->1:,Y,35,0000-050,>1:32,>1:32,>1:32,>1:32
Test Result,1:64,ISANTE-036-1:6,Y,36,0000-051,1:64,1:64,1:64,1:64
Test Result,1:128,ISANTE-037-1:1,Y,37,0000-052,1:128,1:128,1:128,1:128
Test Result,1:256,ISANTE-038-1:2,Y,38,0000-053,1:256,1:256,1:256,1:256
Test Result,>1:572,ISANTE-039->1:,Y,39,0000-054,>1:572,>1:572,>1:572,>1:572
Test Result,Unknown,ISANTE-040-Unk,Y,40,0000-055,Unknown,Unknown,Unknown,Unknown
Test Result,Procedure Refused,ISANTE-041-Pro,Y,41,0000-056,Procedure Refused,Procedure Refused,Procedure Refused,Procedure Refused
Test Result,FOUR PLUS,ISANTE-042-FOU,Y,42,0000-057,FOUR PLUS,FOUR PLUS,FOUR PLUS,FOUR PLUS
Test Result,Test not performed due to lack of availability of test materials,ISANTE-043-Tes,Y,43,0000-058,Test not performed due to lack of availability of test materials,Test not performed due to lack of availability of test materials,Test not performed due to lack of availability of test materials,Test not performed due to lack of availability of test materials
